DATE,LFWA64TTUSM647N_PCH
1961-01-01,1.15398
1962-01-01,0.49911
1963-01-01,1.80665
1964-01-01,1.76669
1965-01-01,1.62686
1966-01-01,1.15642
1967-01-01,1.36146
1968-01-01,1.64925
1969-01-01,1.74872
1970-01-01,2.07584
1971-01-01,2.31395
1972-01-01,2.72529
1973-01-01,2.09982
1974-01-01,1.94752
1975-01-01,1.89767
1976-01-01,1.85315
1977-01-01,1.76766
1978-01-01,1.69182
1979-01-01,1.69592
1980-01-01,1.62854
1981-01-01,1.31432
1982-01-01,1.10396
1983-01-01,0.97991
1984-01-01,1.09670
1985-01-01,0.83917
1986-01-01,1.24475
1987-01-01,1.01514
1988-01-01,0.87712
1989-01-01,0.78242
1990-01-01,1.71473
1991-01-01,0.81756
1992-01-01,0.86954
1993-01-01,0.96976
1994-01-01,0.97323
1995-01-01,0.80503
1996-01-01,1.01878
1997-01-01,1.36511
1998-01-01,1.07429
1999-01-01,1.32176
2000-01-01,2.19158
2001-01-01,1.28994
2002-01-01,1.29042
2003-01-01,1.71563
2004-01-01,0.98102
2005-01-01,1.20059
2006-01-01,1.14507
2007-01-01,1.26168
2008-01-01,0.50480
2009-01-01,0.59843
2010-01-01,0.66733
2011-01-01,0.38452
2012-01-01,0.76359
2013-01-01,0.42317
2014-01-01,0.35580
2015-01-01,0.64265
2016-01-01,0.59278
2017-01-01,0.01691
2018-01-01,0.47205
2019-01-01,-0.11517
